PUID,Name,Version,Extensions,Media Types
fmt/423,Adobe Illustrator,7.0,ai ,application/postscript
fmt/424,OpenDocument Database Format,1.2,odb ,
fmt/425,Video Object File (MPEG-2 subset),,vob ,
fmt/426,Harris Matrix,,hm ,
fmt/427,CorelDraw Drawing,12.0,cdr ,
fmt/428,CorelDraw Drawing,X3,cdr ,
fmt/429,CorelDraw Drawing,X4,cdr ,
fmt/430,CorelDraw Drawing,X5,cdr ,
fmt/431,Corel R.A.V.E.,2,clk ,
fmt/432,Corel R.A.V.E.,3,clk ,
fmt/433,Drawing Interchange File Format (ASCII),2007/2008/2009,dxf ,image/vnd.dxf
fmt/434,AutoCAD Drawing,2010/2011/2012,dwg ,image/vnd.dwg
fmt/435,Drawing Interchange File Format (ASCII),2010/2011/2012,dxf ,image/vnd.dxf
fmt/436,Digital Negative Format (DNG),1.0,dng ,image/tiff
fmt/437,Digital Negative Format (DNG),1.2,dng ,
fmt/438,Digital Negative Format (DNG),1.3,dng ,image/tiff
fmt/439,BSDIFF,4.0,bsdiff ,
fmt/440,Microsoft Project,2007,mpp ,application/vnd.ms-project
fmt/441,Windows Media Video 9 Advanced Profile (WVC1),9 Advanced Profile (WVC1),wmv ,
fmt/442,Microsoft Visio (generic),,vsd ,application/vnd.visio
fmt/443,Microsoft Visio Drawing,2003-2010,vsd ,application/vnd.visio
fmt/444,OpenDocument Database Format,1.1,odb ,
fmt/445,Microsoft Excel Macro-Enabled,2007,xlsm ,application/vnd.ms-excel.sheet.macroEnabled.12
fmt/446,Adobe Portable Document Catalog Index File,2.0,pdx ,
fmt/447,Adobe Portable Document Catalog Index File,3.0,pdx ,
fmt/448,Adobe Portable Document Catalog Index File,3.1,pdx ,
fmt/449,Adobe Portable Document Catalog Index File,3.2,pdx ,
fmt/450,VectorWorks,12.5,vwx ,application/vnd.vectorworks
fmt/451,VectorWorks,2009,vwx ,application/vnd.vectorworks
fmt/452,Acrobat Catalog Cat File,,cat ,
fmt/453,Verity Collection Stop List,,stp ,
fmt/454,Verity Collection Index About File,,abt ,
fmt/455,Verity Collection Index Pending Transaction File,,trn ,
fmt/456,Verity Collection Index Style Policy,,plc ,
fmt/457,Verity Collection Document Dataset Descriptor Style Set,,ddd ,
fmt/458,Verity Collection Document Index Descriptor Style Set,,did ,
fmt/459,Verity Collection Word List Descriptor Style Set,,wld ,
fmt/460,Verity Collection Partition Definition Descriptor Style Set,,pdd ,
fmt/461,Verity Collection Index Descriptor File,,ddd did pdd wld ,
fmt/462,MS-DOS Compression Format (SZDD Variant),,,
fmt/463,JPM (JPEG 2000 part 6),,jpm ,image/jpm
fmt/464,CorelDraw Drawing,5.0,cdr ,
fmt/465,CorelDraw Drawing,4.0,cdr ,
fmt/466,CorelDraw Drawing,2.0,cdr ,
fmt/467,CorelDraw Drawing,1.0,cdr ,
fmt/468,ISO 9660 Disk Image File,,bin cdr dmg iso toast ,
fmt/469,MS DOS Compression Format (KWAJ Variant),,,
fmt/470,Asymetrix Toolbook File,,sbk tbk ,
fmt/471,Hypertext Markup Language,5,htm html ,text/html
fmt/472,Sony Digital Voice File/Sony Memory Stick Voice File,,dvf msv ,
fmt/473,Microsoft Office Owner File,,doc docx ,
fmt/474,Windows Help File,,hlp ,
fmt/475,Microsoft Management Console Snap-in Control file,,msc ,
fmt/476,Acrobat PDF/A - Portable Document Format,2a,pdf ,application/pdf
fmt/477,Acrobat PDF/A - Portable Document Format,2b,pdf ,application/pdf
fmt/478,Acrobat PDF/A - Portable Document Format,2u,pdf ,application/pdf
fmt/479,Acrobat PDF/A - Portable Document Format,3a,pdf ,application/pdf
fmt/480,Acrobat PDF/A - Portable Document Format,3b,pdf ,application/pdf
fmt/481,Acrobat PDF/A - Portable Document Format,3u,pdf ,application/pdf
fmt/482,Apple iBook format,,ibooks ,application/x-ibooks+zip
fmt/483,ePub format,,epub ,application/epub+zip
fmt/484,7Zip format,,7z ,
fmt/485,Rocket Book eBook format,,rb ,
fmt/486,Macromedia (Adobe) Director Compressed Resource file,,dcr ,
fmt/487,Macro Enabled Microsoft Powerpoint,2007 Onwards,pptm ,application/vnd.ms-powerpoint.presentation.macroEnabled.12
fmt/488,Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4,,pdf ,application/pdf
fmt/489,Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4p,,pdf ,application/pdf
fmt/490,Acrobat PDF/X - Portable Document Format - Exchange PDF/X-5g,,pdf ,application/pdf
fmt/491,Acrobat PDF/X - Portable Document Format - Exchange PDF/X-5pg,,pdf ,application/pdf
fmt/492,Acrobat PDF/X - Portable Document Format - Exchange PDF/X-5n,,pdf ,application/pdf
fmt/493,Acrobat PDF/E - Portable Document Format for Engineering PDF/E-1,,pdf ,application/pdf
fmt/494,Microsoft Office Encrypted Document,2007 Onwards,docx pptx xlsx ,
fmt/495,ATCO-CIF,,cif ,
fmt/496,TransXchange File Format,,txc ,
fmt/497,Wireless Bitmap,,wbmp ,image/vnd-wap-wbmp
fmt/498,ActiveX License Package file,,lpk ,
fmt/499,VivoActive,,viv ,video/vnd-vivo
fmt/500,Internet Explorer for Mac cache file,,waf ,
fmt/501,PostScript,3.1,ps ,application/postscript
fmt/502,Bentley V8 DGN,,dgn ,
fmt/503,AppleDouble Resource Fork,2,,multipart/appledouble
fmt/504,Standard Flowgram Format,,sff ,
fmt/505,Adobe Flash,8,swf ,application/x-shockwave-flash
fmt/506,Adobe Flash,9,swf ,application/x-shockwave-flash
fmt/507,Adobe Flash,10,swf ,application/x-shockwave-flash
fmt/508,Quarter Inch Cartridge Host Interchange Format,,qic ,
fmt/509,Adobe PostScript Font Metrics file,,pfm ,
fmt/510,PowerProject Teamplan,,pdb ,
fmt/511,PowerProject,7,pp ,
fmt/512,PowerProject,8,pp ,
fmt/513,PowerProject,9,pp ,
fmt/514,PowerProject,10,pp ,
fmt/515,PowerProject,11,pp ,
fmt/516,PowerProject,12.0.01,pp ,
fmt/517,PowerProject,12.0.02+,pp ,
fmt/518,Broad Band eBook,LRF,lrf ,
fmt/519,Polynomial Texture Map,,ptm ,
fmt/520,OpenType Font File,,otf ,font/otf
fmt/521,Adobe Multiple Master Metrics font file,,mmm ,
fmt/522,Open Project File,,pod ,
fmt/523,Macro enabled Microsoft Word Document OOXML,2007 Onwards,docm ,application/vnd.ms-word.document.macroEnabled.12
fmt/524,Microsoft Office Theme,,thmx ,application/vnd.ms-officetheme
fmt/525,Adobe Printer Font Binary,,pfb ,
fmt/526,Adobe Font List,,lst ,
fmt/527,Broadcast WAVE,2 Generic,wav ,audio/x-wav
fmt/528,Multiple-image Network Graphics,,mng ,video/x-mng
fmt/529,JPEG Network Graphics,,jng ,image/x-jng
fmt/530,eRuby HTML document,,rhtm rhtml ,
fmt/531,AutoCAD Drawing,2013/2014,dwg ,image/vnd.dwg
fmt/532,Drawing Interchange File Format (ASCII),2013/2014/2015/2016/2017,dxf ,image/vnd.dxf
fmt/533,Adobe FrameMaker Document,2.0,fm ,application/vnd.framemaker
fmt/534,Adobe FrameMaker Document,3.0,fm ,application/vnd.framemaker
fmt/535,Adobe FrameMaker Document,4.0,fm ,application/vnd.framemaker
fmt/536,Adobe FrameMaker Document,5.5,fm ,application/vnd.framemaker
fmt/537,Adobe FrameMaker Document,6.0,fm ,application/vnd.framemaker
fmt/538,Adobe FrameMaker Document,7.0,fm ,application/vnd.framemaker
fmt/539,Adobe FrameMaker Document,9.0,fm ,application/vnd.framemaker
fmt/540,Cinema 4D,5.x,c4d ,
fmt/541,Digital Moving Picture Exchange Bitmap,2.0,dpx ,
fmt/542,GEM Metafile Format,1.01,gem ,
fmt/543,GEM Metafile Format,3.10,gem ,
fmt/544,Macromedia FreeHand,7,fh7 ,
fmt/545,Macromedia FreeHand,8,fh8 ,
fmt/546,Macromedia FreeHand,9,fh9 ,
fmt/547,Macromedia FreeHand,10,fh10 ,
fmt/548,Adobe InDesign Document,CS2,ind indd indt ,
fmt/549,Adobe InDesign Document,CS3,ind indd indt ,
fmt/550,Adobe InDesign Document,CS4,ind indd indt ,
fmt/551,Adobe InDesign Document,CS5,ind indd indt ,
fmt/552,Adobe InDesign Document,CS6,ind indd indt ,
fmt/553,Microsoft Excel Chart,2.x,xlc ,application/vnd.ms-excel
fmt/554,Microsoft Excel Chart,3.0,xlc ,application/vnd.ms-excel
fmt/555,Microsoft Excel Macro,2.x,xlm ,application/vnd.ms-excel
fmt/556,Microsoft Excel Macro,3.0,xlm ,application/vnd.ms-excel
fmt/557,Adobe Illustrator,8.0,ai eps ,application/postscript
fmt/558,Adobe Illustrator,9.0,ai pdf ,application/postscript
fmt/559,Adobe Illustrator,10.0,ai pdf ,application/postscript
fmt/560,Adobe Illustrator,11.0,ai pdf ,application/postscript
fmt/561,Adobe Illustrator,12.0,ai pdf ,application/postscript
fmt/562,Adobe Illustrator,13.0,ai pdf ,application/postscript
fmt/563,Adobe Illustrator,14.0,ai pdf ,application/postscript
fmt/564,Adobe Illustrator,15.0,ai pdf ,application/postscript
fmt/565,Adobe Illustrator,16.0,ai pdf ,application/postscript
fmt/566,WebP,Lossy,webp ,
fmt/567,WebP,Lossless,webp ,
fmt/568,WebP,Extended,webp ,
fmt/569,Matroska,1-4,mk3d mka mks mkv ,
fmt/570,Extensible Metadata Platform Packet,,xmp ,
fmt/571,Domino XML Document Export,,dxl ,
fmt/572,Domino XML Database Export,,dxl ,
fmt/573,WebM,,webm ,video/webm
fmt/574,Digital Imaging and Communications in Medicine File Format,,dcm ,application/dicom
fmt/575,GraphPad Prism,1-3,pzm ,
fmt/576,GraphPad Prism,4,pzf ,
fmt/577,Image Cytometry Standard,1,ics ,
fmt/578,Image Cytometry Standard,2,ics ,
fmt/579,X3D,3.0,x3d ,
fmt/580,X3D,3.1,x3d ,
fmt/581,X3D,3.2,x3d ,
fmt/582,X3D,3.3,x3d ,
fmt/583,Vector Markup Language,,htm html vml ,
fmt/584,Windows Media Metafile,,asx wax wmx wvx ,
fmt/585,MPEG-2 Transport Stream,,m2t m2ts ts ,
fmt/586,LifeTechnologies SDS,,sds ,
fmt/587,LifeTechnologies ABIF,,abif ,
fmt/588,Redcode RAW (R3D) Media File,1,r3d ,
fmt/589,Windows Media Playlist,,wpl ,application/vnd.ms-wpl
fmt/590,JPEG Extended Range,,jxr wdp ,image/jxr
fmt/591,Radiance RGBE Image Format,,hdr pic rgbe xyze ,image/vnd.radiance
fmt/592,Canon RAW,2.0,cr2 ,
fmt/593,Canon RAW,1.0,crw ,
fmt/594,Microsoft PhotoDraw,1.0,mix ,image/vnd.mix
fmt/595,Microsoft Excel Non-XML Binary Workbook,2007 onwards,xlsb ,application/vnd.ms-excel.sheet.binary.macroEnabled.12
fmt/596,Apple Lossless Audio Codec,,m4a mp4 ,
fmt/597,Microsoft Word Template,2007 onwards,dotx ,application/vnd.openxmlformats-officedocument.wordprocessingml.template
fmt/598,Microsoft Excel Template,2007 onwards,xltx ,application/vnd.openxmlformats-officedocument.spreadsheetml.template
fmt/599,Microsoft Word Macro-Enabled Document Template,2007 onwards,dotm ,application/vnd.ms-word.template.macroEnabled.12
fmt/600,eXtensible ARchive format,,xar ,
fmt/601,Statistical Analysis System Catalogue XPT (Windows),9.1,xpt ,
fmt/602,Statistical Analysis System Catalogue XPT (Unix),9.1,xpt ,
fmt/603,Statistical Analysis System Data XPT (Windows),9.1,xpt ,
fmt/604,Statistical Analysis System Data XPT (Unix),9.1,xpt ,
fmt/605,Statistical Analysis System Catalog (Windows),9.1,sas7bcat sc7 ,
fmt/606,Statistical Analysis System Catalog (Unix),9.1,sas7bcat sc7 ,
fmt/607,Statistical Analysis System Data (Windows),9.1,sas7bdat sd7 ,
fmt/608,Statistical Analysis System Data (Unix),9.1,sas7bdat sd7 ,
fmt/609,Microsoft Word (Generic),6.0-2003,doc ,application/msword
fmt/610,ARJ File Format,,arj ,
fmt/611,LDAP Data Interchange Format,,ldif ,
fmt/612,Mork,,dat mab msf ,
fmt/613,RAR Archive,5.0,rar ,application/vnd.rar
fmt/614,Windows Imaging Format,,swm wim ,
fmt/615,Gimp Image File Format,,xcf ,
fmt/616,Web Open Font Format,1.0,woff ,font/woff
fmt/617,GeoGebra,2,ggb ,application/vnd.geogebra.file
fmt/618,GeoGebra,1.0,geo ,application/vnd.geogebra.file
fmt/619,GeoGebra,1.x,ggb ,application/vnd.geogebra.file
fmt/620,GeoGebra,3,ggb ,application/vnd.geogebra.file
fmt/621,GeoGebra,4,ggb ,application/vnd.geogebra.file
fmt/622,GeoGebra,5,ggb ,application/vnd.geogebra.file
fmt/623,SmartDraw,,sdr ,
fmt/624,RIFF Palette Format,,pal ,
fmt/625,Apple Disk Copy Image,4.2,dmg image img smi ,
fmt/626,LHA File Format,,lha lzh ,
fmt/627,Microsoft Excel Macro-Enabled Template,2007,xltm ,application/vnd.ms-excel.template.macroEnabled.12
fmt/628,Microsoft Excel Macro-Enabled Add-In,2007,xlam ,application/vnd.ms-excel.addin.macroEnabled.12
fmt/629,Microsoft PowerPoint Show,2007,ppsx ,application/vnd.openxmlformats-officedocument.presentationml.slideshow
fmt/630,Microsoft PowerPoint Macro-Enabled Show,2007,ppsm ,application/vnd.ms-powerpoint.slideshow.macroEnabled.12
fmt/631,Microsoft PowerPoint Template,2007,potx ,application/vnd.openxmlformats-officedocument.presentationml.template
fmt/632,Microsoft PowerPoint Macro-Enabled Template,2007,potm ,application/vnd.ms-powerpoint.template.macroEnabled.12
fmt/633,Microsoft PowerPoint Macro-Enabled Add-In,2007,ppam ,application/vnd.ms-powerpoint.addin.macroEnabled.12
fmt/634,Microsoft Compiled HTML Help,,chm chw ,application/vnd.ms-htmlhelp
fmt/635,CPIO,,cpio ,
fmt/636,Microsoft PowerPoint Macro-Enabled Slide,2007,sldm ,application/vnd.ms-powerpoint.slide.macroEnabled.12
fmt/637,Microsoft OneNote,,one ,application/msonenote
fmt/638,SPSS Data File,,sav ,
fmt/639,Stuffit Archive File,5,sit ,application/x-stuffit
fmt/640,MPEG-2 Elementary Stream,,m2v mpeg mpg ,
fmt/641,Epson Raw Image Format,,erf ,
fmt/642,Fujifilm RAW Image Format,,raf ,
fmt/643,ASTM E57 3D File Format,,e57 ,model/e57
fmt/644,Nullsoft Scriptable Install System,,nsi ,
fmt/645,Exchangeable Image File Format (Compressed),2.2.1,jpeg jpg ,image/jpeg
fmt/646,Apple iWork Keynote,09,key ,
fmt/647,Microsoft Expression Media,2,ivc ,
fmt/648,Media View Pro,,mpcatalog ,
fmt/649,MPEG-1 Elementary Stream,,m1v mpeg mpg ,
fmt/650,QuarkXPress Report File,,qxp report qxp%20report xtg ,application/vnd.Quark.QuarkXPress
fmt/651,QuarkXPress Project,10,qpt qwd qxp ,application/vnd.Quark.QuarkXPress
fmt/652,QuarkXPress Project,6,qpt qwd qxp ,application/vnd.Quark.QuarkXPress
fmt/653,INTERLIS Transfer File,2.3,xtf ,
fmt/654,INTERLIS Model File,2.3,ili ,
fmt/655,KryoFlux,2,raw ,
fmt/656,KryoFlux,2.2,raw ,
fmt/657,Open XML Paper Specification,,xps ,application/oxps
fmt/658,Cypher Query Language,,cql ,
fmt/659,Industry Foundation Classes,2x2,ifc ,
fmt/660,Adobe Type 1 Mac Font File,,,
fmt/661,Sigma RAW Image,,x3f ,
fmt/662,Panasonic Raw,,rw2 ,
fmt/663,Industry Foundation Classes XML,,ifcXML ,
fmt/664,Gerber Format,,gbr ,application/vnd.gerber
fmt/665,Chasys Draw image file,,cd5 ,
fmt/666,ART image format,,art ,
fmt/667,Photoshop Curve File,,acv atf ,
fmt/668,Olympus RAW,,orf ,
fmt/669,Minolta RAW,,mrw ,
fmt/670,PKCS #7 Cryptographic Message File,,p7b p7m p7s ,application/pkcs7-mime application/pkcs7-signature
fmt/671,Serif PagePlus Publication,Generic,ppp ,
fmt/672,Serif PagePlus Publication,4,ppp ,
fmt/673,Serif PagePlus Publication,5,ppp ,
fmt/674,Serif PagePlus Publication,6,ppp ,
fmt/675,Serif PagePlus Publication,7,ppp ,
fmt/676,Serif PagePlus Publication,8,ppp ,
fmt/677,Serif PagePlus Publication,9,ppp ,
fmt/678,Serif PagePlus Publication,10,ppp ,
fmt/679,Serif PagePlus Publication,11,ppp ,
fmt/680,Serif PagePlus Publication,12,ppp ,
fmt/681,Serif PagePlus Publication,Home Office,ppp ,
fmt/682,Thumbs DB file,XP,db ,application/vnd.microsoft.windows.thumbnail-cache
fmt/683,Advanced Function Presentation,,afp ,
fmt/684,Vectorworks,2015,vwx ,application/vnd.vectorworks
fmt/685,QuarkXPress Project,9,qpt qwd qxp ,application/vnd.Quark.QuarkXPress
fmt/686,Vectorworks,2010,vwx ,application/vnd.vectorworks
fmt/687,Better Portable Graphics,,bpg ,
fmt/688,Executable and Linkable Format,32bit Little Endian,elf o ,
fmt/689,Executable and Linkable Format,32bit Big Endian,elf o ,
fmt/690,Executable and Linkable Format,64bit Little Endian,elf o ,
fmt/691,Executable and Linkable Format,64bit Big Endian,elf o ,
fmt/692,Mach-O,32bit,,
fmt/693,Mach-O,64bit,,
fmt/694,Dalvik Executable Format,,dex ,
fmt/695,Optimised Dalvik Executable Format,,odex ,
fmt/696,Sibelius,,sib ,
fmt/697,Additive Manufacturing File Format,,amf ,
fmt/698,Standard for the Exchange of Product model data,,p21 step stp ,
fmt/699,Industry Foundation Classes,2x3,ifc ,
fmt/700,Industry Foundation Classes,4,ifc ,
fmt/701,Processing Development Environment,,pde ,
fmt/702,Universal 3D File Format,,u3d ,
fmt/703,Broadcast WAVE,0 PCM Encoding,wav ,audio/x-wav
fmt/704,Broadcast WAVE,1 PCM Encoding,wav ,audio/x-wav
fmt/705,Broadcast WAVE,2 PCM Encoding,wav ,audio/x-wav
fmt/706,Broadcast WAVE,0 MPEG Encoding,wav ,audio/x-wav
fmt/707,Broadcast WAVE,1 MPEG Encoding,wav ,audio/x-wav
fmt/708,Broadcast WAVE,2 MPEG Encoding,wav ,audio/x-wav
fmt/709,Broadcast WAVE,0 WAVEFORMATEXTENSIBLE Encoding,rf64 wav ,audio/x-wav
fmt/710,Broadcast WAVE,1 WAVEFORMATEXTENSIBLE Encoding,rf64 wav ,audio/x-wav
fmt/711,Broadcast WAVE,2 WAVEFORMATEXTENSIBLE Encoding,wav ,audio/x-wav
fmt/712,RF64,,rf64 wav ,
fmt/713,RF64 Multichannel Broadcast Wave format,,rf64 wav ,
fmt/714,Extensible Music Format,,mxmf xmf ,
fmt/715,Impulse Tracker Module,,it ,
fmt/716,MOD Audio Module,,mod ,
fmt/717,Scream Tracker Module,1-2,stm ,
fmt/718,Scream Tracker Module,3,s3m ,
fmt/719,MultiTracker Module,,mtm ,
fmt/720,MBOX,,mbox ,application/mbox
fmt/721,VLW Font File,,vlw ,
fmt/722,Oktalyzer Audio file,,okt ,
fmt/723,Farandole Composer Module,,far ,
fmt/724,Keyhole Markup Language (Container),,kmz ,application/vnd.google-earth.kmz
fmt/725,Microsoft Project,2010,mpp ,application/vnd.ms-project
fmt/726,Virtual Disk Image,,vdi ,
fmt/727,Cartesian Perceptual Compression image format,,cpc cpi ,
fmt/728,RealLegal E-Transcript,,ptx ,
fmt/729,SQLite Database File Format,3,db db3 sqlite sqlite3 ,application/x-sqlite3
fmt/730,Digital Negative Format (DNG),1.4,dng ,image/tiff
fmt/731,Bink Video Format,1,bik ,
fmt/732,Bink Video Format,2,bik2 bk2 ,video/vnd.radgamettools.bink
fmt/733,FL Studio project file (FLP),,flp ,
fmt/734,SuperScape Virtual Reality Format,,svr ,
fmt/735,Dolby Digital AC-3,,ac3 ,audio/ac3
fmt/736,ClarisWorks,1 (generic),cwk ,
fmt/737,ClarisWorks,2-3 (generic),cwk ,
fmt/738,ClarisWorks Drawing,4,cwk ,
fmt/739,ClarisWorks Word Processor,4,cwk ,
fmt/740,ClarisWorks Spreadsheet,4,cwk ,
fmt/741,ClarisWorks Database,4,cwk ,
fmt/742,ClarisWorks Painting,4,cwk ,
fmt/743,ClarisWorks/AppleWorks Drawing,5,cwk ,
fmt/744,ClarisWorks/AppleWorks Word Processor,5,cwk ,
fmt/745,ClarisWorks/AppleWorks Spreadsheet,5,cwk ,
fmt/746,ClarisWorks/AppleWorks Database,5,cwk ,
fmt/747,ClarisWorks/AppleWorks Painting,5,cwk ,
fmt/748,AppleWorks Drawing,6,cwk ,
fmt/749,AppleWorks Word Processor,6,cwk ,
fmt/750,AppleWorks Spreadsheet,6,cwk ,
fmt/751,AppleWorks Database,6,cwk ,
fmt/752,AppleWorks Painting,6,cwk ,
fmt/753,AppleWorks Presentation,6,cwk ,
fmt/754,Microsoft Word Document (Password Protected),97-2003,doc wbk ,application/msword
fmt/755,Microsoft Word Document Template (Password Protected),97-2003,dot ,application/msword
fmt/756,Zope export file,,zexp ,
fmt/757,Adobe Flash,11,swf ,application/x-shockwave-flash
fmt/758,Adobe Flash,12,swf ,application/x-shockwave-flash
fmt/759,Adobe Flash,13,swf ,application/x-shockwave-flash
fmt/760,Adobe Flash,14,swf ,application/x-shockwave-flash
fmt/761,Adobe Flash,15,swf ,application/x-shockwave-flash
fmt/762,Adobe Flash,16,swf ,application/x-shockwave-flash
fmt/763,Adobe Flash,17,swf ,application/x-shockwave-flash
fmt/764,Adobe Flash,18,swf ,application/x-shockwave-flash
fmt/765,Adobe Flash,19,swf ,application/x-shockwave-flash
fmt/766,Adobe Flash,20,swf ,application/x-shockwave-flash
fmt/767,Adobe Flash,21,swf ,application/x-shockwave-flash
fmt/768,Adobe Flash,22,swf ,application/x-shockwave-flash
fmt/769,Adobe Flash,23,swf ,application/x-shockwave-flash
fmt/770,Adobe Flash,24,swf ,application/x-shockwave-flash
fmt/771,Adobe Flash,25,swf ,application/x-shockwave-flash
fmt/772,Adobe Flash,26,swf ,application/x-shockwave-flash
fmt/773,Adobe Flash,27,swf ,application/x-shockwave-flash
fmt/774,Adobe Flash,28,swf ,application/x-shockwave-flash
fmt/775,Adobe Flash,29,swf ,application/x-shockwave-flash
fmt/776,Adobe Flash,30,swf ,application/x-shockwave-flash
fmt/777,Microsoft Network Monitor Packet Capture,1,cap ,
fmt/778,Microsoft Network Monitor Packet Capture,2,cap ,
fmt/779,pcap Packet Capture,,cap dmp pcap ,application/vnd.tcpdump.pcap
fmt/780,pcap Next Generation Packet Capture,,pcapng ,application/vnd.tcpdump.pcap
fmt/781,Snoop Packet Capture,,snoop ,
fmt/782,PowerVR Object Data,,pod ,
fmt/783,Material Exchange Format,Operational Pattern 1b,mxf ,application/mxf
fmt/784,Material Exchange Format,Operational Pattern 1c,mxf ,application/mxf
fmt/785,Material Exchange Format,Operational Pattern 2a,mxf ,application/mxf
fmt/786,Material Exchange Format,Operational Pattern 2b,mxf ,application/mxf
fmt/787,Material Exchange Format,Operational Pattern 2c,mxf ,application/mxf
fmt/788,Material Exchange Format,Operational Pattern 3a,mxf ,application/mxf
fmt/789,Material Exchange Format,Operational Pattern 3b,mxf ,application/mxf
fmt/790,Material Exchange Format,Operational Pattern 3c,mxf ,application/mxf
fmt/791,Material Exchange Format,Operational Pattern OP-ATOM,mxf ,application/mxf
fmt/792,Unified Emulator Format,,hq.uef uef ,
fmt/793,RPM Package Manager file,1,rpm src.rpm ,
fmt/794,RPM Package Manager file,2,rpm src.rpm ,
fmt/795,RPM Package Manager file,3,rpm src.rpm ,
fmt/796,Adobe After Effects,,aep ,
fmt/797,Apple ProRes,,mov ,
fmt/798,The Neuroimaging Informatics Technology Initiative File Format,1,nii ,
fmt/799,WriteNow,,,
fmt/800,CSV Schema,,csvs ,text/csv-schema
fmt/801,TAP (ZX Spectrum),,tap ,
fmt/802,TAP (Commodore 64),,tap ,
fmt/803,Encase Image File Format/Expert Witness Compression Format,,e01 ,application/encase
fmt/804,Logical File Evidence Format,,l01 ,
fmt/805,XAML Binary Format,,xbf ,
fmt/806,MATLAB Mat File,Level 5,fig mat ,
fmt/807,HDF5,0,h5 hdf hdf5 nc ,
fmt/808,StarOffice Calc,3.x,sdc ,
fmt/809,StarOffice Calc,4.x,sdc ,
fmt/810,StarOffice Draw,3.x,sdd ,
fmt/811,StarOffice Draw,4.x,sdd ,
fmt/812,StarOffice Writer,3.x,sdw ,
fmt/813,StarOffice Writer,4.x,sdw ,
fmt/814,StarOffice Impress,3.x,sdd ,
fmt/815,StarOffice Impress,4.x,sdd ,
fmt/816,NUT Open Container Format,,nut ,
fmt/817,JSON Data Interchange Format,,json ,application/json
fmt/818,YAML,,yaml yml ,
fmt/819,CD-ROM/XA (eXtended Architecture),,dat ,
fmt/820,T64 Tape Image Format,,t64 ,
fmt/821,G64 GCR-encoded Disk Image Format,,g41 g64 g71 ,
fmt/822,CRT C64 Cartridge Image Format,,crt ,
fmt/823,P00 C64 Image Format,,p00 p01 p02 p03 p04 ,
fmt/824,Apple iWork Pages,Generic,pages ,
fmt/825,Apple iWork Numbers,Generic,numbers ,
fmt/826,Scriptware Script Format,,sw3 ,
fmt/827,Serif DrawPlus Drawing,3,dpp ,
fmt/828,MATLAB Mat File,Level 7.3,fig mat ,
fmt/829,3MF 3D Manufacturing Format,,3mf ,application/vnd.ms-3mfdocument
fmt/830,Qsplat Model,,qs ,
fmt/831,Polygon File Format,,ply ,
fmt/832,Open Inventor File Format,1.x,iv ,
fmt/833,Open Inventor File Format,2.x,iv ,
fmt/834,Quattro Pro Spreadsheet for Windows,1/5,wb1 ,
fmt/835,Quattro Pro Spreadsheet for Windows,6,wb2 ,
fmt/836,Quattro Pro Spreadsheet,7-8,wb3 ,
fmt/837,Quattro Pro Spreadsheet,9 onwards,qpw ,
fmt/838,Outlook Express Message Database,,dbx ,
fmt/839,Outlook Express Folder Database,,dbx ,
fmt/840,ADX Audio Format,,adx ,
fmt/841,Interleaved ADX Audio Format (AIX),,aix ,
fmt/842,AccessData Custom Content Image,,ad1 ad2 ad3 ad4 ad5 ,
fmt/843,AccessData Custom Content Image (Encrypted),,ad1 ad2 ad3 ad4 ad5 ,
fmt/844,Advanced Forensic Format,,aff ,
fmt/845,ClarisWorks Drawing,2-3,cwk ,
fmt/846,ClarisWorks Word Processor,2-3,cwk ,
fmt/847,ClarisWorks Spreadsheet,2-3,cwk ,
fmt/848,ClarisWorks Database,2-3,cwk ,
fmt/849,ClarisWorks Painting,2-3,cwk ,
fmt/850,NuFile Exchange Archival Library,,bxy sdk shk ,
fmt/851,Genealogical Data Communication (GEDCOM) Format,,ged ,
fmt/852,Serif DrawPlus Drawing,4,dpp ,
fmt/853,Serif DrawPlus Drawing,5,dpp ,
fmt/854,Personal Ancestral File (PAF),3,paf ,
fmt/855,Personal Ancestral File (PAF),4,paf ,
fmt/856,Personal Ancestral File (PAF),5,paf ,
fmt/857,Navisworks Document,Generic,nwc nwd ,
fmt/858,Navisworks Document,2010,nwc nwd ,
fmt/859,Navisworks Document,2011,nwc nwd ,
fmt/860,Navisworks Document,2012,nwc nwd ,
fmt/861,Maya Binary File Format,32 Bit,mb ,
fmt/862,Maya Binary File Format,64 Bit,mb ,
fmt/863,Maya ASCII File Format,,ma ,
fmt/864,3DM,5,3dm ,
fmt/865,STL (Standard Tessellation Language) Binary,,stl ,
fmt/866,Apple Safari Webarchive,,webarchive ,
fmt/867,Microsoft Reader eBook,,lit ,
fmt/868,MySQL Table Definition Format,,frm ,
fmt/869,CDX Internet Archive Index,,cdx ,
fmt/870,Perl Script,,pl ,
fmt/871,Adobe Content Server Message File,,acsm ,application/vnd.adobe.adept+xml
fmt/872,Free Lossless Image Format (FLIF),,flif ,image/flif
fmt/873,Notation3,,n3 ,text/n3
fmt/874,Turtle,,ttl ,text/turtle
fmt/875,RDF/XML,,rdf ,application/rdf+xml
fmt/876,Pagemaker Document (Generic),,p65 pmd pmt ,application/vnd.pagemaker
